name	abs_path	registered_at
artelys-crystal-hpc	/home/lgiron/artelys_crystal_hpc/artelys-crystal-hpc	2026-05-11T09:38:57Z
s3-explorer	/home/lgiron/artelys_crystal_hpc/s3-explorer	2026-05-11T12:24:58Z
coe-hesabu	/home/lgiron/acsg_coe_lab/coe-kpi-hesabu-server	2026-05-11T13:57:55Z
fosphor-n	/home/lgiron/artelys_ds_lab/fosphor-n	2026-05-12T14:14:03Z
politics	/home/lgiron/lab_perso/politics	2026-05-13T07:42:03Z
ollama-integration-claude-code	/home/lgiron/lab/ollama-claude-code-integration	2026-05-19T13:04:38Z
telegram-to-notion	/home/lgiron/lab_perso/telegram-to-notion	2026-05-19T13:45:26Z
artelys-crystal-hpc-deployment	/home/lgiron/artelys_crystal_hpc/artelys-crystal-hpc-deployment	2026-05-20T13:34:16Z
slurm-resources-explorer	/home/lgiron/artelys_crystal_hpc/slurm-resources-explorer	2026-05-21T14:20:55Z
artelys-crystal-hpc-service-template	/home/lgiron/artelys_crystal_hpc/service-template	2026-05-27T07:41:45Z
